Fiscal_Year,Service,Fund_Type,Fund,Item_Category,Description,Approved_Amount
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Electrical Licenses and Permits,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Hazardous Materials Permits,800000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspection: Restaurants,1783800
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspection: Restraurants,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Living Facilities,258040
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Swimming Pools,534600
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Landlord-Tennant Fees,5635073
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,260000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,New Home Builder's License,134000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Other Licenses/Permits,188120
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Pet Licenses,1251707
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Residential Parking Permits,24000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Clerk of the Court Business Licenses,215000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,67000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Other Licenses/Permits,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Trader's License,780000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Alternative Community Services,365000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Board of Appeals Fees,315084
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Care of Federal/State Prisoners,1694040
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Commission for Women Fees,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Common Ownership Community Fees,675000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Discovery Materials,26000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Facility Rental Fees,25000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Health and Human Services Fees,1420200
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Home Confinement Fees,61000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Library Fees,20000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Mail Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Motor Pool Charges/Fees,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,2528719
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Parking Fees,210000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Recreation Fees,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Sale of Recycled Materials,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Self Insurance Employee Health Income,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Sheriff Fees,1200000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Street Tree Planting,75000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Subdivision Plan Review,300000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Substance Abusers Intervention Program (IPSA),74000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Tree Canopy,500000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Zoning Fees,65000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges and Fees,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,55000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Parking Fees,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Print Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Library Fines,1000000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,347150
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Photo Red Light Citations,4100000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Speed Camera Citations,17200000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Other Fines/Forfeitures,575000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,1000000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Core Health Services Funding,4254770
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,EEOC Reimbursement,55000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Emergency 911,6745000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Federal Financial Participation Reimbursements,14356435
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Federal Grants,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Illegal Alien Inmate Reimbursement,500000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Indirect Costs: Grants,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Magistrates,170660
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Medicaid/Medicare Reimbursement,3305160
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Nursing Home Reimbursement,704020
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,2401340
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Highway User,3742245
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Police Protection,14743832
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Grants,650000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Interpreter Fee Reimbursement,314709
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Jury Fee Reimbursement,404245
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Operations,2997000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Staff Retirement,2845000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Traffic Signals Maintenance,994000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Indirect Costs: Grants,1000000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,14340000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Investment Income,Investment Income,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Investment Income,Investment Income,144540
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Loan Payments,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,1108665
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Property Rentals,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Vehicle/Bike Auction Proceeds,800000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,CIP Indirect Costs,0
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Net Proceeds,900000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Rental Income,319100
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Loan Payments,10000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,2782228
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Property Rentals,3850000
2017,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Taxes,Property Tax,564836
2017,M-NCPPC,TAX SUPPORTED,Administration Fund,Taxes,Property Tax,27505550
2017,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Charges for Services,Optional Method Development,189877
2017,M-NCPPC,TAX SUPPORTED,Administration Fund,Charges for Services,User Fees,145000
2017,M-NCPPC,TAX SUPPORTED,Administration Fund,Intergovernmental,Intergovernmental,409900
2017,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Investment Income,Investment Income,0
2017,M-NCPPC,TAX SUPPORTED,Administration Fund,Investment Income,Investment Income,60000
2017,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Miscellaneous,Miscellaneous Revenues,0
2017,M-NCPPC,TAX SUPPORTED,Administration Fund,Miscellaneous,Miscellaneous,0
2017,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Taxes,Property Tax,878877
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Taxes,Property Tax,88664950
2017,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Charges for Services,Optional Method Development,150000
2017,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Charges for Services,Recreation Fees,0
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Charges for Services,Facility User Fees,2594043
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Intergovernmental,Intergovernmental,2817413
2017,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Investment Income,Investment Income,0
2017,Montgomery College,TAX SUPPORTED,Emergency Repair Fund,Investment Income,EPMRF: Investment Income Non-Pooled,0
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income,5000
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income: CIP,25000
2017,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Miscellaneous,Miscellaneous Revenues,0
2017,M-NCPPC,TAX SUPPORTED,Park Fund,Miscellaneous,Miscellaneous,107700
2017,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Taxes,Property Tax,207075
2017,M-NCPPC,TAX SUPPORTED,ALA Debt Service Fund,Taxes,Property Tax,1865573
2017,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Investment Income,Investment Income,1300
2017,Montgomery County Government,TAX SUPPORTED,Wheaton Urban District,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,Bradley Noise Abatement,Taxes,Property Tax,0
2017,Montgomery County Government,TAX SUPPORTED,Bradley Noise Abatement,Investment Income,Investment Income,0
2017,Montgomery County Government,TAX SUPPORTED,Cabin John Noise Abatement,Taxes,Property Tax,0
2017,Montgomery County Government,TAX SUPPORTED,Cabin John Noise Abatement,Investment Income,Investment Income,0
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Taxes,Property Tax,97009830
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Licenses & Permits,Taxi Licensing Fees,531000
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Bus Advertising,935000
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Insurance Recoveries,0
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Motor Pool Charges/Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Other Charges/Fees,982194
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Parking Fees,661385
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Ride On Fare Revenue,22769658
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Fines & Forfeitures,Other Fines/Forfeitures,0
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Fines & Forfeitures,Parking Fines,405000
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Call N' Ride,379110
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Damascus Fixed Route,309950
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Ride On,38264000
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Investment Income,Investment Income,0
2017,Montgomery County Government,TAX SUPPORTED,Mass Transit,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Taxes,Property Tax,212675398
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Building Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Fire Code Enforcement Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Health Inspection: Restaurants,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Health Inspections: Swimming Pools,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Occupancy Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Other Licenses and Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Other Licenses/Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Licenses & Permits,Trader's License,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Automation Enhancement Fee,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,EMS Reimbursement-Ambulance Fee,18200000
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Facility Rental Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Health and Human Services Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Motor Pool Charges/Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Parking Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,Self Insurance Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,Emergency 911,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,Other Intergovernmental,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Intergovernmental,State Fire/Rescue 508 Funds,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Investment Income,Investment Income,170020
2017,Montgomery County Government,TAX SUPPORTED,Fire,Miscellaneous,Insurance Proceeds,0
2017,Montgomery County Government,TAX SUPPORTED,Fire,Miscellaneous,Miscellaneous Revenues,20000
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Taxes,Property Tax,37432378
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Health Inspection: Restaurants,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Other Licenses and Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Licenses & Permits,Other Licenses/Permits,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Facility Rental Fees,794600
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Parking Fees,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fee Subsidy,-1000000
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Recreation Fees,10965942
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Intergovernmental,State Grants,0
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Investment Income,Investment Income,26150
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues,84365
2017,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues - Parks ActiveNet,45232
2017,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Investment Income,Investment Income,33253
2017,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Miscellaneous,Loan Payments,94970
2017,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,TAX SUPPORTED,Revenue Stabilization,Investment Income,Investment Income,864800
2017,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Federal Grants,5591000
2017,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Other Intergovernmental,0
2017,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Premium on General Obligation Bonds,6942760
2017,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,State Grants,0
2017,Debt Service,TAX SUPPORTED,Debt Service,Investment Income,Investment Income,0
2017,Debt Service,TAX SUPPORTED,Debt Service,Miscellaneous,Miscellaneous Revenues,0
2017,Debt Service,TAX SUPPORTED,Debt Service,Miscellaneous,Other Financing Sources,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Bag Tax,2280000
2017,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Water Quality Protection Charge,34530616
2017,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Charges for Services,Other Charges/Fees,200000
2017,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Investment Income,Investment Income,91130
2017,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Charges for Services,Other Charges/Fees,295208
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Federal Grants,24994539
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,HB669 Social Services State Reimbursment,36176980
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Medicaid/Medicare Reimbursement,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Other Intergovernmental,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,33322903
2017,Montgomery College,NON-TAX SUPPORTED,Grant Fund MC,Intergovernmental,Federal/State/Private Grants,19773000
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,20000000
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Investment Income,Investment Income,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Miscellaneous,Loan Payments,1000000
2017,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Franchise Fees,17661404
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Gaithersburg PEG Contribution,169513
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,I-Net Operating Revenue,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Other Charges/Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Capital Revenue,6516834
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Operating Revenue,4119609
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Tower Application Fees,150000
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Federal Grants,74752923
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Private Grants,6731204
2017,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,State Grants,644000
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Investment Income,Investment Income,26990
2017,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery College,NON-TAX SUPPORTED,Endowment Fund,Miscellaneous,Interest,1000
2017,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Administration Fund Grants,150000
2017,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Park Fund Grants,400000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,MHI Transfer Tax,225000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,Recordation Tax,14071500
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Charges for Services,Asset Management Fee,50000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Investment Income,Investment Income,2125040
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Commitment Fee,200000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Land Sale Proceeds,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Loan Payments,1975000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Miscellaneous Revenues,75006
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,MPDU Revenues,1250000
2017,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Other Financing Sources,61280
2017,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Intergovernmental,Other Intergovernmental,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Investment Income,Investment Income,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Restricted Donations,Miscellaneous,Miscellaneous Revenues,0
2017,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Charges for Services,Service Charges,2597945
2017,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Intergovernmental,Intergovernmental,145000
2017,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Investment Income,Investment Income,15000
2017,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Miscellaneous,Miscellaneous,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Charges for Services,Facility Rental Fees,10939718
2017,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Charges for Services,Recreation Fees,0
2017,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Charges for Services,Tuition and Fees: Continuing Education,10335150
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Concessions,0
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Fees and Charges,6639258
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Merchandise Sales,621300
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Rentals,3370624
2017,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Intergovernmental,State Aid,6122792
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Intergovernmental,Intergovernmental,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Investment Income,Investment Income,47910
2017,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Miscellaneous,Miscellaneous Revenues,0
2017,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues: Interest,10000
2017,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues; Miscellaneous,268982
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Miscellaneous,0
2017,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Non-Operating Revenues/Interest,50000
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Taxes,Property Tax,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Licenses & Permits,Electrical Permits and Licenses,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Licenses & Permits,Residential Parking Permits,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Other Charges and Fees,0
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Parking Fees,14105081
2017,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Smart Meters,0
2017,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Charges for Services,Sales,1545000
2017,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Charges for Services,Rental Income,1315000
